Value Date,HY Excess Return,IG Excess Return
1999-09-01,-0.01000000000258073,0.13563787545090697
1999-10-01,-2.0655286255891387,0.5355447917358152
1999-11-01,13.681484283855113,0.03448297459519578
1999-12-01,3061.867551846337,0.021827012161770715
2000-01-01,-0.009505349439141428,-0.009026230879995744
2000-02-01,-0.009757029116761491,-0.009992255104244894
2000-03-01,-0.009999932530909562,-0.009999999999978686
2000-04-01,-0.009994113731639737,-0.009997754466155128
2000-05-01,0.14844087569659575,-0.009999996900137588
2000-06-01,0.01772107247714918,426.9422658556154
2000-07-01,0.8336294325910688,1.3111813719075351
2000-08-01,-0.010000000000449436,-0.009415680463028235
2000-09-01,-0.009572432400678055,0.032972080691682795
2000-10-01,0.32380714468070126,-0.01
2000-11-01,-0.010000976945346584,-0.00999999682056582
2000-12-01,-0.00986425224796955,-3.3901118107058096e-05
2001-01-01,67087324.76388908,17074.36525797106
2001-02-01,126.49864249047752,-0.009999874060429775
2001-03-01,-0.03407092395915789,0.03887760839693638
2001-04-01,-0.009999999999999743,0.0002438359833529047
2001-05-01,6416.810849660446,1.7034756470985635
2001-06-01,0.0029654602278548436,0.010334388575529601
2001-07-01,-0.00999999912516786,0.08454713359347388
2001-08-01,95.98923067007945,-0.00019423533787784608
2001-09-01,1390.2849208711334,-0.010506504554025076
2001-10-01,16.583863462706955,24.704142653367967
2001-11-01,89927961.39427358,574.0682960622624
2001-12-01,877.4199978271967,-0.0026869049699136715
2002-01-01,9.398452790787209,3.2128848640063548
2002-02-01,-0.010000000236569679,-0.009999998258080825
2002-03-01,14543117899.695436,28.47418626517077
2002-04-01,-0.009999999999999952,-0.010000059765208553
2002-05-01,-0.009999999999898817,0.06644334236831295
2002-06-01,0.899944829812712,-0.010000005965607527
2002-07-01,1.1902629371503932,-0.010000025178589415
2002-08-01,-0.009999999991246851,-0.009991376802183967
2002-09-01,-0.009999999389485675,-0.009999337964414125
2002-10-01,-0.009999998356485167,-0.01000000000000012
2002-11-01,457256823.2447741,153792.4835611761
2002-12-01,-0.010000000000121996,0.067520705246371
2003-01-01,95758126864.18047,102.81093058740343
2003-02-01,-0.009999999999996729,0.0347874513282819
2003-03-01,20134.88820844771,-0.007586357455176256
2003-04-01,825680883.0259521,105.11082459513923
2003-05-01,-0.010000000028400256,0.03845445790497453
2003-06-01,277860.89051386574,1.4672983576517944
2003-07-01,12343901.016595943,0.8315436454510524
2003-08-01,-0.009999055331176827,0.012316742134487963
2003-09-01,123.34240610951912,0.2014921855425415
2003-10-01,7380773629.126011,0.5339217092339418
2003-11-01,101.34139418832513,0.06100114247368321
2003-12-01,22396.664902862016,0.0838678568231434
2004-01-01,213795.7495765385,0.16946908287245846
2004-02-01,-0.00999999999999928,-0.005980875655644477
2004-03-01,-0.01000000004588975,-0.009293210597644572
2004-04-01,33801812.05862617,1.2205396335241245
2004-05-01,-0.009999913005378024,-0.009998313831715224
2004-06-01,8744.13298271641,0.017249142600621714
2004-07-01,16.901616480391436,0.006894970706254746
2004-08-01,-0.009996896977482642,-0.003212391502395241
2004-09-01,4308.354763479997,0.2560435736498072
2004-10-01,18.613694232517208,0.006110695077202672
2004-11-01,2372284.08005115,1.5407340490739767
2004-12-01,0.639257718353315,0.6418229531484849
2005-01-01,-0.00999999826681629,-0.0038888580888877897
2005-02-01,4968.765165826093,0.11440141965788377
2005-03-01,-0.010000123872335443,-0.009993012953459316
2005-04-01,-0.01003782427399556,-0.009999896959142465
2005-05-01,-0.010020505762144164,-0.009867155654217695
2005-06-01,171969.42293422454,0.007089278378824586
2005-07-01,3431851.710169068,1.036296962011481
2005-08-01,-0.010000222184685357,-0.006923624726901932
2005-09-01,0.02093245372017863,-0.00901719804886353
2005-10-01,-0.009999703319482854,-0.008839383004677953
2005-11-01,-0.00987974652120827,0.010732732110915575
2005-12-01,0.017879007688979705,-0.008686592333369032
2006-01-01,1861.9951894163737,0.0302615066177891
2006-02-01,4.5711692452839285,0.03555284729143732
2006-03-01,388.9994808227929,-0.007796543241320113
2006-04-01,6.475723302496241,0.03203608862325498
2006-05-01,0.02435018244881204,-0.005837870641273547
2006-06-01,-0.009999999999999511,-0.009884218632842265
2006-07-01,-0.008533841238761018,0.005331290287594444
2006-08-01,2.3871116116148863,0.07426324616161961
2006-09-01,16.43272687450403,0.020016272620479638
2006-10-01,1951.2562527541343,0.07138126814542269
2006-11-01,1581.318376990434,0.4190785267382689
2006-12-01,2020.2378944320797,0.03610160495988812
2007-01-01,216.5763070926977,0.3301011193689846
2007-02-01,3.6934480954171183,0.2342104574769785
2007-03-01,-0.009999027904289469,-0.009980953005280893
2007-04-01,55.63567110851013,0.13110109276632087
2007-05-01,2945.81491801495,0.09781377358883078
2007-06-01,-0.01000102497188996,-0.009848976885849924
2007-07-01,-0.009916739530323921,-0.00999858930518758
2007-08-01,-0.010290312363596385,-0.009999998073576589
2007-09-01,1.10883981539191,-0.009946292307235078
2007-10-01,-0.0036165719953161492,15.72265982628956
2007-11-01,-4710.196301941757,-0.010001017862827494
2007-12-01,3.8591488422081297,-0.009701569334018249
2008-01-01,7235.67612104345,-0.009999999976497835
2008-02-01,-0.009999998249094859,-0.010000798325168654
2008-03-01,-0.0100000968707958,-0.009972292464810835
2008-04-01,922078227679.956,2546071.3036529226
2008-05-01,3406.2284988220013,1.6658146065885493
2008-06-01,-0.010023534168031555,-0.010002074720686815
2008-07-01,-0.010000000315444835,-0.01
2008-08-01,-0.01000000000001098,-0.009999870905064436
2008-09-01,0.0005849932423403059,-924.0097111584543
